Id;Designator;Package;Quantity;Designation;Part number;Alternative PN;
1;C1;C_0805_2012Metric;1;100nF;;;
2;Q3;TO-220-3_Horizontal_TabDown_SMD;1;MRF101BN;MRF101BN;;
3;R1,R4,R15;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;3;100R;;;
4;U2;Diodes_PSOP-8;1;LM358;;;
5;C8,C7,C19,C23,C9,C5,C3,C2,C20,C10,C29,C13,C6,C18,C4;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;15;100nF;;;
6;L1,L2,L6;L_0805_2012Metric_Pad1.05x1.20mm_HandSolder;3;L_Core_Ferrite_Small;BLM21SP102SN1D;;
7;C12,C24;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;2;1u;;;.
8;L4;L_1812_4532Metric;1;Ferrite;FBMH4532HM681-T;HI1806T600R-10;
9;C14,C15,C17,C16;C_1210_3225Metric_Pad1.33x2.70mm_HandSolder;4;100n/500V;;;
10;C26;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;1;1n;;;
11;R7;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1;240R;;;
12;IC1;SO-8_5.3x6.2mm_P1.27mm;1;ACHS-7123;;;
13;R18,R16,R17,R19;R_1206_3216Metric;4;TBD;;;
14;C25;CP_Elec_10x14.3;1;220uF/63V;EEV-FK1J221Q;Panasonic;
15;TR1;Mini-Circuits_CD542_H2.84mm;1;ADT4-1WT;ADT4-1WT+;Mini Circuits;
16;D1;D_MELF;1;BAT54J;;;
17;C11;C_1210_3225Metric;1;TBD;;;
19;D3,D4;D_0805_2012Metric;2;CDSOD323-T03CT-NO;;;
20;C21;CP_Elec_16x17.5;1;560u/63V;EEE-TP1J561V;Panasonic;
21;R10,R12,R11;R_1210_3225Metric;3;4R7/1W;;;
22;L5;L_1812_4532Metric;1;;;;
23;C27,C28;C_0805_2012Metric;2;100nH;;1;
24;J3;PinHeader_1x03_P2.54mm_Horizontal;1;Conn_01x03_Male;;;
25;RV3;Potentiometer_Bourns_3214G_Horizontal;1;1K;3214G-1-102E ;;
26;RV1,RV2;Potentiometer_Bourns_3214G_Horizontal;2;5K;3214G-1-502E ;;
27;J1,J2;SMA_Amphenol_132291_Vertical;1;SMA;142-0701-201;CONSMA002-L-G;
28;Q2;TO-220-3_Horizontal_TabDown_SMD;1;MRF101AN;MRF101AN;;
29;D2;D_0603_1608Metric;1;5.1V;;;
30;J4;PinHeader_1x04_P2.54mm_Horizontal;1;3-647630-4;;;
31;TLT2,TLT1;TLT_94_3;2;FT94-61 or FT82-61;Kitsandparts.com;Reichelt Elektron.;
32;U1;TO-263-3_TabPin2;1;TL783CKTT;TL783CKTT;;
33;R6,R5;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;2;1R;;;
34;Q1;SOT-23;1;ISS55EP06LMXTSA1;ISS55EP06LMXTSA1;;
35;R14;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1;27K;;;
36;R9;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1;1K;;;
37;C22;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;1;10u;;;
38;R3;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1;10k;;;
39;R13;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1;10K;CRM2512-FX-12R0ELF;;
40;R2;R_2512_6332Metric;1;12R/2W;;;
41;R8;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1;82R;;;
42;L3;FT_50_1;1;FT50-43;Kitsandparts.com;;
;;;;;;;
;;;1;;;;
